epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1281.13,1.55986,2.11302,1.68251,1.615,0.37352,0.54578,0.41249,0.19795,0.41702,0.56959,0.44506,0.21427,1.42906,1.83288,1.51361,1.84905,0.000922063,0.000922063,0.000922063
55,1303.88,1.48952,1.9235,1.74566,1.64028,0.30271,0.41362,0.32046,0.14509,0.30162,0.41441,0.32123,0.13914,1.43973,1.89622,1.92945,1.82802,0.000915875,0.000915875,0.000915875
56,1326.14,1.48405,1.99902,1.76317,1.60013,0.32936,0.54229,0.39577,0.17774,0.33829,0.56349,0.4034,0.18885,1.46672,1.67178,1.83014,1.88239,0.000909688,0.000909688,0.000909688
57,1349.42,1.45526,1.88318,1.57923,1.54518,0.36994,0.43313,0.37103,0.18186,0.37238,0.39127,0.3642,0.18755,1.39667,1.65338,1.64502,1.77889,0.0009035,0.0009035,0.0009035
58,1372.53,1.4436,1.88019,1.68092,1.61035,0.33757,0.43675,0.35217,0.15366,0.39687,0.44973,0.37145,0.16998,1.50519,1.64496,1.90603,1.91238,0.000897313,0.000897313,0.000897313
59,1395.05,1.44088,1.87589,1.66281,1.53659,0.38187,0.54121,0.42117,0.19597,0.39159,0.58005,0.44397,0.22165,1.34724,1.69675,1.63288,1.7296,0.000891125,0.000891125,0.000891125
60,1417.5,1.40591,1.83533,1.54241,1.53289,0.41816,0.4991,0.40066,0.18236,0.45277,0.51319,0.41689,0.19932,1.33044,1.67827,1.79803,1.74443,0.000884938,0.000884938,0.000884938
61,1440.45,1.38591,1.75422,1.57377,1.50545,0.45605,0.53288,0.36906,0.17998,0.48471,0.50319,0.39401,0.18201,1.25174,1.6049,1.90336,1.68142,0.00087875,0.00087875,0.00087875
62,1463.68,1.4829,1.9643,1.65451,1.60148,0.28175,0.49634,0.36857,0.18848,0.34841,0.46862,0.39563,0.19716,1.37528,1.69065,1.83735,1.71168,0.000872563,0.000872563,0.000872563
63,1486.48,1.45776,1.85398,1.63558,1.5498,0.30768,0.56332,0.43427,0.24412,0.42749,0.46521,0.45742,0.25192,1.32038,1.56994,1.5145,1.72525,0.000866375,0.000866375,0.000866375
64,1510.35,1.43538,1.88461,1.56765,1.58544,0.41414,0.42806,0.3484,0.17136,0.38915,0.43683,0.36036,0.18337,1.38568,1.68607,1.57548,1.81475,0.000860188,0.000860188,0.000860188
65,1532.72,1.47193,1.88861,1.58452,1.5477,0.35699,0.42806,0.40071,0.19352,0.37955,0.45644,0.41328,0.20998,1.34067,1.6071,1.62208,1.64079,0.000854,0.000854,0.000854
66,1555.49,1.35831,1.79632,1.53719,1.48096,0.40226,0.53832,0.36057,0.18203,0.41458,0.55318,0.39918,0.18287,1.39375,1.76827,1.68519,1.79668,0.000847813,0.000847813,0.000847813
67,1578.93,1.41229,1.74286,1.636,1.49041,0.39418,0.66099,0.44843,0.23671,0.40339,0.6848,0.46591,0.24549,1.41351,1.65786,1.68434,1.84441,0.000841625,0.000841625,0.000841625
68,1602.05,1.35431,1.80571,1.50217,1.51888,0.37524,0.5482,0.41684,0.20429,0.38702,0.6344,0.44342,0.20155,1.44885,1.65254,1.55526,1.78804,0.000835438,0.000835438,0.000835438
69,1624.54,1.27628,1.73609,1.46248,1.48109,0.47115,0.53708,0.43197,0.24688,0.48647,0.5378,0.46942,0.23601,1.26499,1.73324,1.5127,1.69425,0.00082925,0.00082925,0.00082925
